Station: Bern-Bollwerk
Urban, traffic
Hourly means, PREC: Hourly sums
MEZ/CET
Source: NABEL/MeteoSchweiz
Date/time;O3 [ug/m3];NO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];CPC [1/cm3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2022 01:00;5.7;33.3;0.50;53.3;40.4;2.0;27835.8;76.8;4.3;0.0;-1.8
01.01.2022 02:00;5.6;33.6;0.50;46.0;34.5;1.7;25431.9;88.1;3.8;0.0;-1.7
01.01.2022 03:00;5.0;30.8;0.40;45.5;34.5;1.6;27466.8;73.1;3.1;0.0;-1.4
01.01.2022 04:00;5.0;32.8;0.50;46.7;33.7;1.7;27981.8;78.9;3.7;0.0;-1.3
01.01.2022 05:00;4.2;26.8;0.50;57.0;43.7;1.9;28260.6;73.5;3.2;0.0;-2.1
01.01.2022 06:00;3.3;26.1;0.70;66.3;48.4;2.2;24763.9;84.7;2.4;0.0;-1.4
01.01.2022 07:00;2.6;20.8;0.60;59.6;45.6;1.8;22443.6;78.0;2.3;0.0;-1.4
01.01.2022 08:00;2.2;20.6;0.50;56.2;40.6;1.8;21963.2;70.4;1.9;0.0;-1.4
01.01.2022 09:00;2.4;16.1;0.50;49.6;38.5;1.5;18941.8;64.7;1.3;0.0;14.3
01.01.2022 10:00;2.5;16.6;0.60;43.1;32.7;1.7;16226.2;88.3;2.1;0.0;131.9
01.01.2022 11:00;7.3;21.8;0.40;30.7;21.8;1.0;14246.3;66.1;4.3;0.0;249.1
01.01.2022 12:00;19.4;17.2;0.30;19.8;12.4;0.5;9651.9;35.8;6.6;0.0;330.5
01.01.2022 13:00;21.7;25.4;0.30;17.6;11.2;0.8;10412.7;44.7;8.9;0.0;360.6
01.01.2022 14:00;27.3;20.8;0.30;16.4;9.3;0.7;9556.0;35.8;10.2;0.0;339.7
01.01.2022 15:00;13.3;49.4;0.40;16.6;9.2;0.9;16434.5;112.1;11.5;0.0;270.1
01.01.2022 16:00;14.9;54.0;0.40;13.7;7.3;0.7;21096.1;119.4;11.4;0.0;148.7
01.01.2022 17:00;4.9;60.9;0.80;20.3;9.4;1.2;32295.3;177.5;10.8;0.0;22.6
01.01.2022 18:00;2.8;56.3;0.70;24.2;11.8;1.7;25900.3;200.1;9.1;0.0;-2.2
01.01.2022 19:00;3.6;49.5;0.80;32.2;17.4;2.1;32550.1;187.6;7.6;0.0;-2.2
01.01.2022 20:00;4.2;44.3;0.70;29.7;18.4;2.1;26383.0;146.6;6.2;0.0;-2.2
01.01.2022 21:00;3.7;37.5;0.50;24.8;16.0;1.5;22775.8;84.4;5.1;0.0;-2.0
01.01.2022 22:00;3.5;34.9;0.40;22.7;15.4;1.5;16336.9;63.0;4.6;0.0;-1.3
01.01.2022 23:00;4.0;36.2;0.50;29.4;20.4;2.1;37132.4;97.6;4.3;0.0;-1.8
02.01.2022 00:00;3.1;31.9;0.60;23.5;16.4;1.7;18775.6;76.9;3.6;0.0;-1.5
02.01.2022 01:00;3.4;32.6;0.50;24.3;16.1;1.3;17988.5;80.8;3.4;0.0;-1.4
02.01.2022 02:00;2.4;34.3;0.40;20.8;13.8;1.7;13500.4;93.4;2.9;0.0;-1.7
02.01.2022 03:00;2.6;29.9;0.40;19.5;13.4;1.3;14887.2;71.6;2.2;0.0;-1.4
