Bern-Bollwerk
Messstation Nr.:   2
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 01 00 10    169.58      1.86
2022 01 01 00 20    165.34      1.94
2022 01 01 00 30    167.51      2.42
2022 01 01 00 40    168.55      1.95
2022 01 01 00 50    159.19      1.44
2022 01 01 01 00    162.79      2.03
2022 01 01 01 10    160.59      2.21
2022 01 01 01 20    166.18      2.12
2022 01 01 01 30    160.17      2.23
2022 01 01 01 40    150.22      2.50
2022 01 01 01 50    160.87      2.74
2022 01 01 02 00    166.53      2.72
2022 01 01 02 10    166.81      2.59
2022 01 01 02 20    172.47      2.57
2022 01 01 02 30    179.81      2.55
2022 01 01 02 40    167.77      2.32
2022 01 01 02 50    176.20      1.78
2022 01 01 03 00    166.65      1.44
2022 01 01 03 10    165.33      1.78
2022 01 01 03 20    168.31      2.00
2022 01 01 03 30    182.14      1.97
2022 01 01 03 40    192.15      1.85
2022 01 01 03 50    171.68      1.95
2022 01 01 04 00    171.06      1.64
2022 01 01 04 10    149.58      1.45
2022 01 01 04 20    147.51      1.20
2022 01 01 04 30    135.12      1.59
2022 01 01 04 40    124.83      1.07
2022 01 01 04 50    134.07      0.93
2022 01 01 05 00    107.93      0.92
2022 01 01 05 10     70.85      0.88
2022 01 01 05 20     71.70      0.58
2022 01 01 05 30    134.71      0.99
2022 01 01 05 40    171.39      0.71
2022 01 01 05 50     74.98      0.73
2022 01 01 06 00     85.76      1.01
2022 01 01 06 10     84.96      0.97
2022 01 01 06 20    110.07      0.68
2022 01 01 06 30      1.67      0.50
2022 01 01 06 40    117.33      0.31
2022 01 01 06 50    192.22      1.02
2022 01 01 07 00    171.37      0.57
2022 01 01 07 10    176.59      0.75
2022 01 01 07 20    297.13      0.33
2022 01 01 07 30    194.43      0.79
2022 01 01 07 40    173.34      1.70
2022 01 01 07 50    155.55      0.66
2022 01 01 08 00    180.59      0.95
2022 01 01 08 10    169.40      0.64
2022 01 01 08 20    287.09      0.47
2022 01 01 08 30     43.00      0.41
2022 01 01 08 40     80.56      0.75
2022 01 01 08 50     90.69      1.05
2022 01 01 09 00     75.19      0.68
2022 01 01 09 10     65.73      0.72
2022 01 01 09 20     63.51      0.72
2022 01 01 09 30     42.81      0.42
2022 01 01 09 40    221.31      0.60
2022 01 01 09 50    123.32      0.67
2022 01 01 10 00     71.21      0.52
2022 01 01 10 10     84.83      0.64
2022 01 01 10 20    114.73      0.85
2022 01 01 10 30    174.83      1.11
2022 01 01 10 40    176.54      1.21
2022 01 01 10 50    169.35      1.38
2022 01 01 11 00    195.47      1.30
2022 01 01 11 10    186.93      1.12
2022 01 01 11 20    191.72      1.34
2022 01 01 11 30    179.54      1.30
2022 01 01 11 40    156.30      1.42
2022 01 01 11 50    165.06      1.13
2022 01 01 12 00    155.25      1.22
2022 01 01 12 10    148.78      0.87
2022 01 01 12 20    158.86      1.32
2022 01 01 12 30    157.94      0.76
2022 01 01 12 40    191.47      0.35
2022 01 01 12 50    162.13      0.84
2022 01 01 13 00    155.57      1.01
2022 01 01 13 10    172.03      0.65
2022 01 01 13 20    147.34      0.50
2022 01 01 13 30     32.71      0.79
2022 01 01 13 40    345.78      0.52
2022 01 01 13 50     28.30      0.55
2022 01 01 14 00     40.50      0.60
2022 01 01 14 10     65.33      0.42
2022 01 01 14 20     86.76      0.81
2022 01 01 14 30    153.62      1.20
2022 01 01 14 40    161.26      1.15
2022 01 01 14 50    168.91      0.89
2022 01 01 15 00    160.91      1.45
2022 01 01 15 10    146.72      1.52
2022 01 01 15 20    154.28      1.41
2022 01 01 15 30    128.83      0.98
2022 01 01 15 40    153.22      1.05
2022 01 01 15 50    112.43      1.04
2022 01 01 16 00    152.94      1.02
2022 01 01 16 10    173.40      0.95
2022 01 01 16 20    233.21      0.75
2022 01 01 16 30    206.38      0.65
2022 01 01 16 40    166.73      1.10
2022 01 01 16 50    159.82      1.11
2022 01 01 17 00    162.01      0.85
2022 01 01 17 10    214.25      0.72
2022 01 01 17 20    230.33      0.79
2022 01 01 17 30    231.27      0.63
2022 01 01 17 40    292.98      0.50
2022 01 01 17 50    133.82      0.41
2022 01 01 18 00    208.36      0.68
2022 01 01 18 10    208.05      1.02
2022 01 01 18 20    201.59      0.89
2022 01 01 18 30    194.55      0.60
2022 01 01 18 40    182.53      0.96
2022 01 01 18 50    175.03      0.83
2022 01 01 19 00    191.32      1.33
2022 01 01 19 10    156.62      1.52
2022 01 01 19 20    181.17      0.67
2022 01 01 19 30    260.73      0.28
2022 01 01 19 40    161.71      1.11
2022 01 01 19 50    175.98      1.42
2022 01 01 20 00    174.58      1.23
2022 01 01 20 10    153.76      1.57
2022 01 01 20 20    148.91      1.46
2022 01 01 20 30    151.66      1.89
2022 01 01 20 40    182.88      1.80
2022 01 01 20 50    190.90      1.38
2022 01 01 21 00    185.10      1.63
2022 01 01 21 10    180.40      2.25
2022 01 01 21 20    195.35      1.77
2022 01 01 21 30    183.17      1.96
2022 01 01 21 40    177.41      2.21
2022 01 01 21 50    214.21      1.63
2022 01 01 22 00    212.45      0.97
2022 01 01 22 10    193.84      1.16
2022 01 01 22 20    186.60      0.77
2022 01 01 22 30    162.27      0.66
2022 01 01 22 40    155.72      0.93
2022 01 01 22 50    181.64      1.46
2022 01 01 23 00    200.10      1.42
2022 01 01 23 10    169.38      1.53
2022 01 01 23 20    181.58      1.70
2022 01 01 23 30    194.52      1.04
2022 01 01 23 40    194.65      1.15
2022 01 01 23 50    183.86      1.17
2022 01 01 24 00    168.57      1.14
2022 01 02 00 10    182.74      1.17
2022 01 02 00 20    182.37      1.30
2022 01 02 00 30    201.22      0.89
2022 01 02 00 40    171.91      1.22
2022 01 02 00 50    146.39      1.76
2022 01 02 01 00    178.00      1.16
2022 01 02 01 10    205.90      1.21
2022 01 02 01 20    151.04      1.29
2022 01 02 01 30    159.67      1.06
2022 01 02 01 40    179.51      0.87
2022 01 02 01 50    192.27      1.12
2022 01 02 02 00    179.78      1.52
2022 01 02 02 10    191.08      1.59
2022 01 02 02 20    198.08      1.52
2022 01 02 02 30    167.16      1.79
