Beromünster
Messstation Nr.:  20
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 01 00 10    258.11      4.21
2022 01 01 00 20    266.28      3.58
2022 01 01 00 30    273.74      2.02
2022 01 01 00 40    260.76      2.88
2022 01 01 00 50    241.68      3.69
2022 01 01 01 00    232.49      3.35
2022 01 01 01 10    225.52      2.56
2022 01 01 01 20    208.38      2.17
2022 01 01 01 30    171.58      2.50
2022 01 01 01 40    185.14      3.39
2022 01 01 01 50    192.87      3.81
2022 01 01 02 00    191.64      3.56
2022 01 01 02 10    186.19      2.76
2022 01 01 02 20    172.24      2.14
2022 01 01 02 30    133.00      1.71
2022 01 01 02 40    134.90      2.49
2022 01 01 02 50    185.70      2.00
2022 01 01 03 00    193.43      1.85
2022 01 01 03 10    201.39      1.13
2022 01 01 03 20    235.40      0.25
2022 01 01 03 30    333.59      0.85
2022 01 01 03 40    289.54      0.60
2022 01 01 03 50      7.82      0.76
2022 01 01 04 00    341.27      0.43
2022 01 01 04 10    317.63      0.60
2022 01 01 04 20    297.63      0.63
2022 01 01 04 30    267.45      0.59
2022 01 01 04 40    312.21      1.08
2022 01 01 04 50    303.67      0.76
2022 01 01 05 00     94.78      0.46
2022 01 01 05 10     30.26      0.35
2022 01 01 05 20     32.22      0.49
2022 01 01 05 30      6.24      0.83
2022 01 01 05 40      1.37      0.47
2022 01 01 05 50     70.56      0.64
2022 01 01 06 00    107.26      0.51
2022 01 01 06 10    162.20      0.74
2022 01 01 06 20    137.42      1.63
2022 01 01 06 30    129.11      3.19
2022 01 01 06 40    128.44      2.88
2022 01 01 06 50    135.37      2.11
2022 01 01 07 00    149.51      2.53
2022 01 01 07 10    153.28      3.27
2022 01 01 07 20    153.76      2.94
2022 01 01 07 30    151.30      1.56
2022 01 01 07 40    150.71      1.32
2022 01 01 07 50    170.47      0.75
2022 01 01 08 00    146.14      0.84
2022 01 01 08 10    197.15      0.84
2022 01 01 08 20    156.98      1.26
2022 01 01 08 30    191.55      0.88
2022 01 01 08 40    193.25      1.59
2022 01 01 08 50    159.43      1.51
2022 01 01 09 00    137.40      2.07
2022 01 01 09 10    144.98      1.37
2022 01 01 09 20    222.28      0.83
2022 01 01 09 30    227.45      0.99
2022 01 01 09 40    202.46      1.38
2022 01 01 09 50    184.81      1.30
2022 01 01 10 00    163.52      1.82
2022 01 01 10 10    213.65      2.22
2022 01 01 10 20    205.67      2.08
2022 01 01 10 30    211.35      2.01
2022 01 01 10 40    205.02      1.64
2022 01 01 10 50    218.62      0.90
2022 01 01 11 00    207.06      0.86
2022 01 01 11 10    189.16      1.26
2022 01 01 11 20    165.38      0.42
2022 01 01 11 30    231.88      1.75
2022 01 01 11 40    215.98      2.13
2022 01 01 11 50    192.36      1.65
2022 01 01 12 00    187.74      1.47
2022 01 01 12 10    213.26      1.39
2022 01 01 12 20    227.46      1.97
2022 01 01 12 30    232.93      1.98
2022 01 01 12 40    245.04      1.83
2022 01 01 12 50    237.46      2.29
2022 01 01 13 00    245.48      2.73
2022 01 01 13 10    247.63      2.85
2022 01 01 13 20    252.26      2.82
2022 01 01 13 30    254.94      2.82
2022 01 01 13 40    252.33      2.74
2022 01 01 13 50    248.09      2.41
2022 01 01 14 00    255.45      1.91
2022 01 01 14 10    255.24      1.50
2022 01 01 14 20    246.29      2.07
2022 01 01 14 30    238.46      1.82
2022 01 01 14 40    227.40      1.70
2022 01 01 14 50    226.96      1.91
2022 01 01 15 00    229.58      1.82
2022 01 01 15 10    237.39      1.61
2022 01 01 15 20    222.09      1.24
2022 01 01 15 30    229.71      1.05
2022 01 01 15 40    243.07      1.09
2022 01 01 15 50    223.89      0.86
2022 01 01 16 00    205.08      0.78
2022 01 01 16 10    242.02      0.37
2022 01 01 16 20    267.28      0.48
2022 01 01 16 30    143.24      0.46
2022 01 01 16 40    152.88      0.25
2022 01 01 16 50    232.26      0.68
2022 01 01 17 00    233.46      0.95
2022 01 01 17 10    245.85      1.37
2022 01 01 17 20    245.32      1.28
2022 01 01 17 30    232.88      1.39
2022 01 01 17 40    249.29      1.63
2022 01 01 17 50    252.01      1.48
2022 01 01 18 00    257.44      1.47
2022 01 01 18 10    241.52      1.25
2022 01 01 18 20    219.02      1.18
2022 01 01 18 30    234.47      1.05
2022 01 01 18 40    238.02      1.57
2022 01 01 18 50    252.66      2.25
2022 01 01 19 00    250.83      2.33
2022 01 01 19 10    260.75      2.76
2022 01 01 19 20    257.98      2.63
2022 01 01 19 30    257.35      2.21
2022 01 01 19 40    261.99      2.23
2022 01 01 19 50    260.55      2.54
2022 01 01 20 00    249.38      2.43
2022 01 01 20 10    233.75      2.23
2022 01 01 20 20    230.62      2.46
2022 01 01 20 30    225.17      2.47
2022 01 01 20 40    236.18      2.65
2022 01 01 20 50    232.17      3.00
2022 01 01 21 00    234.68      2.83
2022 01 01 21 10    238.61      2.83
2022 01 01 21 20    227.14      2.93
2022 01 01 21 30    234.56      3.27
2022 01 01 21 40    242.32      3.48
2022 01 01 21 50    240.75      3.83
2022 01 01 22 00    234.40      3.49
2022 01 01 22 10    243.78      3.19
2022 01 01 22 20    251.96      3.60
2022 01 01 22 30    249.13      3.32
2022 01 01 22 40    234.00      3.04
2022 01 01 22 50    231.61      3.60
2022 01 01 23 00    230.17      4.28
2022 01 01 23 10    227.72      4.60
2022 01 01 23 20    242.38      4.80
2022 01 01 23 30    248.99      5.18
2022 01 01 23 40    235.85      4.34
2022 01 01 23 50    242.95      4.35
2022 01 01 24 00    246.78      4.62
2022 01 02 00 10    246.88      4.57
2022 01 02 00 20    248.10      4.01
2022 01 02 00 30    243.05      4.15
2022 01 02 00 40    232.56      4.17
2022 01 02 00 50    251.44      4.05
2022 01 02 01 00    244.77      4.52
2022 01 02 01 10    243.64      4.78
2022 01 02 01 20    243.44      4.13
2022 01 02 01 30    240.30      4.28
2022 01 02 01 40    248.21      4.14
2022 01 02 01 50    251.15      5.25
2022 01 02 02 00    246.51      5.09
2022 01 02 02 10    235.72      5.47
2022 01 02 02 20    236.30      5.30
2022 01 02 02 30    245.74      4.06
