Davos-Seehornwald
Messstation Nr.:   4
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 01 00 10    195.86      1.82
2022 01 01 00 20    193.41      1.57
2022 01 01 00 30    193.72      1.17
2022 01 01 00 40    188.91      1.73
2022 01 01 00 50    181.90      1.46
2022 01 01 01 00    201.52      1.00
2022 01 01 01 10    214.79      0.65
2022 01 01 01 20    201.16      1.18
2022 01 01 01 30    193.66      0.94
2022 01 01 01 40    207.73      1.12
2022 01 01 01 50    206.99      1.06
2022 01 01 02 00    191.67      1.46
2022 01 01 02 10    201.99      0.94
2022 01 01 02 20    184.01      1.24
2022 01 01 02 30    195.21      1.61
2022 01 01 02 40    198.17      1.24
2022 01 01 02 50    195.27      1.82
2022 01 01 03 00    201.03      1.73
2022 01 01 03 10    188.01      0.89
2022 01 01 03 20    195.44      1.55
2022 01 01 03 30    189.89      1.56
2022 01 01 03 40    204.34      2.10
2022 01 01 03 50    207.87      1.54
2022 01 01 04 00    203.20      1.32
2022 01 01 04 10    209.96      1.74
2022 01 01 04 20    209.57      1.71
2022 01 01 04 30    220.64      1.69
2022 01 01 04 40    205.17      1.44
2022 01 01 04 50    207.88      1.59
2022 01 01 05 00    204.04      1.49
2022 01 01 05 10    192.22      2.25
2022 01 01 05 20    190.10      1.73
2022 01 01 05 30    189.06      2.49
2022 01 01 05 40    200.27      1.91
2022 01 01 05 50    199.41      1.82
2022 01 01 06 00    201.21      2.20
2022 01 01 06 10    208.21      2.16
2022 01 01 06 20    198.65      2.46
2022 01 01 06 30    201.21      1.58
2022 01 01 06 40    206.50      1.75
2022 01 01 06 50    194.90      2.10
2022 01 01 07 00    210.06      1.61
2022 01 01 07 10    204.83      1.51
2022 01 01 07 20    212.59      1.25
2022 01 01 07 30    205.98      1.31
2022 01 01 07 40    186.71      1.57
2022 01 01 07 50    172.97      1.66
2022 01 01 08 00    187.01      1.20
2022 01 01 08 10    179.41      0.84
2022 01 01 08 20    210.08      1.71
2022 01 01 08 30    201.81      1.03
2022 01 01 08 40    177.23      1.65
2022 01 01 08 50    180.73      1.46
2022 01 01 09 00    185.90      1.35
2022 01 01 09 10    205.16      1.48
2022 01 01 09 20    195.57      1.55
2022 01 01 09 30    185.54      0.77
2022 01 01 09 40    202.03      1.30
2022 01 01 09 50    175.44      1.20
2022 01 01 10 00    208.72      1.68
2022 01 01 10 10    208.05      1.67
2022 01 01 10 20    209.43      1.54
2022 01 01 10 30    105.61      0.58
2022 01 01 10 40     14.75      0.74
2022 01 01 10 50    203.68      0.66
2022 01 01 11 00    203.11      0.64
2022 01 01 11 10    149.85      0.59
2022 01 01 11 20    198.15      0.67
2022 01 01 11 30    180.66      0.77
2022 01 01 11 40    198.42      0.58
2022 01 01 11 50    174.07      0.56
2022 01 01 12 00    184.51      0.57
2022 01 01 12 10    205.23      0.84
2022 01 01 12 20    212.12      1.02
2022 01 01 12 30    168.66      0.81
2022 01 01 12 40    188.76      1.49
2022 01 01 12 50    193.36      1.52
2022 01 01 13 00    199.32      1.33
2022 01 01 13 10    188.19      2.14
2022 01 01 13 20    187.25      1.95
2022 01 01 13 30    173.20      2.42
2022 01 01 13 40    181.85      1.97
2022 01 01 13 50    221.35      0.76
2022 01 01 14 00    230.40      0.78
2022 01 01 14 10    201.90      1.92
2022 01 01 14 20    198.00      1.90
2022 01 01 14 30    202.81      1.00
2022 01 01 14 40      7.23      0.63
2022 01 01 14 50    263.88      0.39
2022 01 01 15 00    193.67      1.82
2022 01 01 15 10    186.94      2.22
2022 01 01 15 20      7.83      0.88
2022 01 01 15 30    231.76      0.55
2022 01 01 15 40    199.09      1.38
2022 01 01 15 50    193.08      2.07
2022 01 01 16 00    198.55      1.00
2022 01 01 16 10    189.22      1.36
2022 01 01 16 20    180.05      0.61
2022 01 01 16 30    205.55      2.15
2022 01 01 16 40    193.04      2.95
2022 01 01 16 50    209.88      2.04
2022 01 01 17 00    188.58      2.29
2022 01 01 17 10    180.68      1.90
2022 01 01 17 20    181.59      2.24
2022 01 01 17 30    187.32      1.74
2022 01 01 17 40    202.93      0.90
2022 01 01 17 50    200.47      1.44
2022 01 01 18 00    204.56      1.15
2022 01 01 18 10    202.67      1.58
2022 01 01 18 20    187.15      1.51
2022 01 01 18 30    204.73      1.67
2022 01 01 18 40    196.23      1.62
2022 01 01 18 50    192.41      2.01
2022 01 01 19 00    190.79      1.64
2022 01 01 19 10    201.86      1.96
2022 01 01 19 20    199.68      1.60
2022 01 01 19 30    209.35      1.46
2022 01 01 19 40    195.07      1.45
2022 01 01 19 50    199.95      2.13
2022 01 01 20 00    193.79      2.24
2022 01 01 20 10    198.44      2.04
2022 01 01 20 20    186.45      1.58
2022 01 01 20 30    208.86      1.52
2022 01 01 20 40    206.20      2.12
2022 01 01 20 50    189.70      2.21
2022 01 01 21 00    183.21      1.73
2022 01 01 21 10    201.17      1.67
2022 01 01 21 20    197.71      2.12
2022 01 01 21 30    201.45      1.59
2022 01 01 21 40    198.61      1.79
2022 01 01 21 50    210.85      1.88
2022 01 01 22 00    204.93      1.84
2022 01 01 22 10    206.90      1.73
2022 01 01 22 20    199.33      1.99
2022 01 01 22 30    193.12      1.71
2022 01 01 22 40    197.56      2.28
2022 01 01 22 50    202.11      2.53
2022 01 01 23 00    187.15      2.48
2022 01 01 23 10    201.18      2.14
2022 01 01 23 20    205.16      2.76
2022 01 01 23 30    204.46      2.38
2022 01 01 23 40    197.12      2.42
2022 01 01 23 50    193.82      2.08
2022 01 01 24 00    197.70      2.56
2022 01 02 00 10    202.65      2.66
2022 01 02 00 20    197.02      2.89
2022 01 02 00 30    183.16      1.34
2022 01 02 00 40    207.43      1.60
2022 01 02 00 50    198.84      1.98
2022 01 02 01 00    194.30      0.76
2022 01 02 01 10    205.93      1.12
2022 01 02 01 20    190.08      1.46
2022 01 02 01 30    178.56      1.94
2022 01 02 01 40    212.80      1.60
2022 01 02 01 50    203.01      1.39
2022 01 02 02 00    217.52      1.54
2022 01 02 02 10    176.75      0.95
2022 01 02 02 20    187.13      2.12
2022 01 02 02 30    178.30      2.58
