Dübendorf-Empa
Messstation Nr.:   5
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 01 00 10    114.51      1.13
2022 01 01 00 20    119.77      1.55
2022 01 01 00 30    117.92      1.85
2022 01 01 00 40    111.34      1.54
2022 01 01 00 50    124.40      2.25
2022 01 01 01 00    117.59      1.73
2022 01 01 01 10    103.68      1.39
2022 01 01 01 20    107.51      1.75
2022 01 01 01 30    128.65      1.47
2022 01 01 01 40    104.08      1.25
2022 01 01 01 50    121.57      1.17
2022 01 01 02 00    132.74      1.74
2022 01 01 02 10    126.67      1.27
2022 01 01 02 20    138.30      1.20
2022 01 01 02 30    217.13      0.36
2022 01 01 02 40    225.03      0.24
2022 01 01 02 50    311.68      0.32
2022 01 01 03 00    350.68      0.96
2022 01 01 03 10    358.60      0.48
2022 01 01 03 20    252.59      0.52
2022 01 01 03 30    257.74      0.54
2022 01 01 03 40    256.98      0.67
2022 01 01 03 50    308.54      0.58
2022 01 01 04 00    357.32      0.30
2022 01 01 04 10     61.94      0.67
2022 01 01 04 20     51.26      0.63
2022 01 01 04 30     73.36      0.49
2022 01 01 04 40    100.98      0.61
2022 01 01 04 50     75.31      0.64
2022 01 01 05 00     64.56      0.93
2022 01 01 05 10     99.39      0.78
2022 01 01 05 20     32.65      0.36
2022 01 01 05 30     48.67      0.39
2022 01 01 05 40     26.86      0.56
2022 01 01 05 50     68.34      0.44
2022 01 01 06 00     89.50      1.03
2022 01 01 06 10    111.10      1.99
2022 01 01 06 20    108.65      2.05
2022 01 01 06 30    118.17      1.69
2022 01 01 06 40    121.34      1.78
2022 01 01 06 50    124.61      1.94
2022 01 01 07 00    124.02      2.10
2022 01 01 07 10     96.58      1.36
2022 01 01 07 20    101.60      0.90
2022 01 01 07 30    132.50      0.94
2022 01 01 07 40    356.25      0.53
2022 01 01 07 50    332.36      1.25
2022 01 01 08 00    324.58      1.00
2022 01 01 08 10    316.48      1.27
2022 01 01 08 20    282.40      1.57
2022 01 01 08 30    248.61      1.41
2022 01 01 08 40    256.05      1.18
2022 01 01 08 50    249.11      1.18
2022 01 01 09 00    277.42      1.04
2022 01 01 09 10    327.50      0.84
2022 01 01 09 20    352.24      0.75
2022 01 01 09 30    273.76      0.37
2022 01 01 09 40    337.75      0.82
2022 01 01 09 50    235.07      0.29
2022 01 01 10 00    193.23      0.32
2022 01 01 10 10     19.99      0.34
2022 01 01 10 20     47.82      0.28
2022 01 01 10 30    312.29      0.35
2022 01 01 10 40    241.16      0.83
2022 01 01 10 50    242.68      0.69
2022 01 01 11 00    268.68      0.40
2022 01 01 11 10     16.53      0.30
2022 01 01 11 20      9.49      0.26
2022 01 01 11 30    144.94      0.34
2022 01 01 11 40    160.83      0.32
2022 01 01 11 50    275.25      0.86
2022 01 01 12 00    264.88      1.02
2022 01 01 12 10    248.82      1.12
2022 01 01 12 20    299.27      0.94
2022 01 01 12 30    292.58      1.29
2022 01 01 12 40    274.00      1.33
2022 01 01 12 50    255.01      1.17
2022 01 01 13 00    253.49      1.25
2022 01 01 13 10    268.07      0.93
2022 01 01 13 20    276.61      1.18
2022 01 01 13 30    277.12      1.44
2022 01 01 13 40    280.22      1.68
2022 01 01 13 50    283.12      1.75
2022 01 01 14 00    272.12      1.67
2022 01 01 14 10    263.79      1.13
2022 01 01 14 20    257.15      1.45
2022 01 01 14 30    252.38      1.21
2022 01 01 14 40    228.61      0.97
2022 01 01 14 50    204.15      0.53
2022 01 01 15 00    145.37      0.47
2022 01 01 15 10    145.85      0.33
2022 01 01 15 20    128.23      0.41
2022 01 01 15 30    134.34      0.78
2022 01 01 15 40    143.63      1.05
2022 01 01 15 50    236.72      0.86
2022 01 01 16 00    230.29      1.03
2022 01 01 16 10    237.30      0.91
2022 01 01 16 20    234.27      0.80
2022 01 01 16 30    246.45      0.80
2022 01 01 16 40    245.79      0.95
2022 01 01 16 50    226.29      1.32
2022 01 01 17 00    218.19      1.18
2022 01 01 17 10    239.48      0.87
2022 01 01 17 20    265.81      1.17
2022 01 01 17 30    289.26      1.12
2022 01 01 17 40    308.13      0.87
2022 01 01 17 50    292.94      1.95
2022 01 01 18 00    284.99      2.13
2022 01 01 18 10    279.23      1.58
2022 01 01 18 20    281.42      1.67
2022 01 01 18 30    253.11      0.97
2022 01 01 18 40    263.13      0.76
2022 01 01 18 50    322.78      0.48
2022 01 01 19 00    333.92      1.10
2022 01 01 19 10    356.15      1.21
2022 01 01 19 20    332.81      1.74
2022 01 01 19 30    263.11      0.82
2022 01 01 19 40    205.42      0.68
2022 01 01 19 50    150.48      0.46
2022 01 01 20 00    107.41      1.21
2022 01 01 20 10    106.77      1.27
2022 01 01 20 20    115.27      1.48
2022 01 01 20 30    114.02      1.32
2022 01 01 20 40    115.21      1.70
2022 01 01 20 50     90.11      1.00
2022 01 01 21 00     94.83      0.67
2022 01 01 21 10     93.49      0.35
2022 01 01 21 20    104.21      1.01
2022 01 01 21 30    105.68      1.10
2022 01 01 21 40     52.81      0.55
2022 01 01 21 50     11.81      0.86
2022 01 01 22 00    351.90      0.64
2022 01 01 22 10    125.62      0.44
2022 01 01 22 20    154.12      0.43
2022 01 01 22 30    340.83      0.27
2022 01 01 22 40     59.95      0.30
2022 01 01 22 50     74.09      0.67
2022 01 01 23 00     39.91      1.27
2022 01 01 23 10     41.81      0.74
2022 01 01 23 20      3.96      0.54
2022 01 01 23 30     14.17      0.43
2022 01 01 23 40     75.68      0.68
2022 01 01 23 50    103.30      1.13
2022 01 01 24 00    131.69      0.55
2022 01 02 00 10    130.78      0.26
2022 01 02 00 20     93.65      0.38
2022 01 02 00 30    106.70      0.73
2022 01 02 00 40    106.96      1.19
2022 01 02 00 50    104.38      1.42
2022 01 02 01 00     33.85      1.07
2022 01 02 01 10     83.26      1.01
2022 01 02 01 20    122.05      0.93
2022 01 02 01 30    136.62      0.76
2022 01 02 01 40    118.34      1.11
2022 01 02 01 50    115.54      1.80
2022 01 02 02 00    106.56      1.43
2022 01 02 02 10    107.36      1.66
2022 01 02 02 20     76.52      1.03
2022 01 02 02 30    101.89      0.74
