Härkingen-A1
Messstation Nr.:   6
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 01 00 10    147.04      0.63
2022 01 01 00 20     82.51      0.37
2022 01 01 00 30    112.60      0.60
2022 01 01 00 40    133.45      0.57
2022 01 01 00 50    124.15      0.91
2022 01 01 01 00    119.71      0.36
2022 01 01 01 10     84.24      0.57
2022 01 01 01 20    105.45      0.33
2022 01 01 01 30     50.19      0.40
2022 01 01 01 40    291.61      0.52
2022 01 01 01 50    188.62      0.44
2022 01 01 02 00    119.51      0.92
2022 01 01 02 10    143.15      0.50
2022 01 01 02 20    154.18      0.68
2022 01 01 02 30    202.38      0.85
2022 01 01 02 40    162.69      0.68
2022 01 01 02 50    156.98      0.97
2022 01 01 03 00    132.75      1.18
2022 01 01 03 10    125.40      1.33
2022 01 01 03 20    141.89      1.16
2022 01 01 03 30    116.17      1.31
2022 01 01 03 40    126.29      1.06
2022 01 01 03 50    126.21      0.89
2022 01 01 04 00    158.96      1.00
2022 01 01 04 10    126.95      0.74
2022 01 01 04 20    124.72      1.03
2022 01 01 04 30    134.42      0.94
2022 01 01 04 40    124.60      1.01
2022 01 01 04 50    124.20      1.18
2022 01 01 05 00    113.25      1.26
2022 01 01 05 10    119.71      1.02
2022 01 01 05 20     90.37      0.80
2022 01 01 05 30    134.50      0.39
2022 01 01 05 40    188.40      0.34
2022 01 01 05 50     18.42      0.41
2022 01 01 06 00     69.01      0.72
2022 01 01 06 10    137.06      0.84
2022 01 01 06 20    140.22      0.61
2022 01 01 06 30    118.28      0.50
2022 01 01 06 40    176.06      0.48
2022 01 01 06 50    314.13      0.40
2022 01 01 07 00     57.96      0.41
2022 01 01 07 10     35.79      0.38
2022 01 01 07 20    161.55      0.24
2022 01 01 07 30    178.21      0.69
2022 01 01 07 40    163.82      0.42
2022 01 01 07 50    195.24      0.48
2022 01 01 08 00    184.28      0.52
2022 01 01 08 10    222.33      0.98
2022 01 01 08 20    226.89      1.06
2022 01 01 08 30    203.50      0.60
2022 01 01 08 40    191.06      0.83
2022 01 01 08 50    216.91      0.86
2022 01 01 09 00    244.08      0.89
2022 01 01 09 10    221.05      0.92
2022 01 01 09 20    229.15      0.69
2022 01 01 09 30    225.24      0.48
2022 01 01 09 40    236.12      0.80
2022 01 01 09 50    197.45      1.02
2022 01 01 10 00    202.91      0.97
2022 01 01 10 10    202.41      1.20
2022 01 01 10 20    230.55      0.84
2022 01 01 10 30    206.40      0.81
2022 01 01 10 40    203.60      0.63
2022 01 01 10 50    181.69      0.63
2022 01 01 11 00    222.75      0.43
2022 01 01 11 10    226.94      0.92
2022 01 01 11 20    214.97      0.77
2022 01 01 11 30    171.37      0.75
2022 01 01 11 40    128.07      0.95
2022 01 01 11 50    114.81      1.14
2022 01 01 12 00    139.73      1.06
2022 01 01 12 10    135.00      1.05
2022 01 01 12 20     80.51      0.83
2022 01 01 12 30    148.68      0.57
2022 01 01 12 40    212.17      0.78
2022 01 01 12 50    284.61      0.73
2022 01 01 13 00    181.76      0.30
2022 01 01 13 10    216.79      0.64
2022 01 01 13 20    227.96      1.07
2022 01 01 13 30    206.99      0.56
2022 01 01 13 40    238.49      0.79
2022 01 01 13 50    244.35      0.90
2022 01 01 14 00    238.47      1.18
2022 01 01 14 10    212.89      0.96
2022 01 01 14 20    232.76      1.20
2022 01 01 14 30    231.68      1.09
2022 01 01 14 40    247.15      1.37
2022 01 01 14 50    221.65      0.94
2022 01 01 15 00    252.83      0.58
2022 01 01 15 10    257.69      0.61
2022 01 01 15 20    184.63      0.70
2022 01 01 15 30    168.49      0.65
2022 01 01 15 40    145.47      0.79
2022 01 01 15 50    125.14      0.67
2022 01 01 16 00    159.59      0.48
2022 01 01 16 10    127.05      0.53
2022 01 01 16 20     79.30      0.50
2022 01 01 16 30    166.95      0.43
2022 01 01 16 40    291.44      0.59
2022 01 01 16 50    165.35      0.70
2022 01 01 17 00    144.20      0.65
2022 01 01 17 10    219.27      0.92
2022 01 01 17 20    148.89      0.58
2022 01 01 17 30    136.98      0.58
2022 01 01 17 40    114.97      0.63
2022 01 01 17 50    120.09      0.57
2022 01 01 18 00    168.01      0.45
2022 01 01 18 10    213.07      0.61
2022 01 01 18 20    152.86      0.49
2022 01 01 18 30    176.65      0.62
2022 01 01 18 40    131.42      0.72
2022 01 01 18 50    125.13      0.89
2022 01 01 19 00    170.29      0.78
2022 01 01 19 10    146.08      1.08
2022 01 01 19 20     93.15      0.61
2022 01 01 19 30    132.39      0.84
2022 01 01 19 40    147.38      1.04
2022 01 01 19 50    167.29      0.43
2022 01 01 20 00    167.08      0.41
2022 01 01 20 10    177.77      0.66
2022 01 01 20 20    164.71      0.81
2022 01 01 20 30    151.15      0.68
2022 01 01 20 40    146.30      1.02
2022 01 01 20 50    141.17      1.01
2022 01 01 21 00    166.07      0.62
2022 01 01 21 10    140.77      0.36
2022 01 01 21 20    147.39      0.83
2022 01 01 21 30    143.41      0.65
2022 01 01 21 40    153.53      0.73
2022 01 01 21 50    153.67      0.72
2022 01 01 22 00    164.79      0.81
2022 01 01 22 10    168.43      0.49
2022 01 01 22 20    217.81      0.26
2022 01 01 22 30    178.33      0.38
2022 01 01 22 40    232.02      0.29
2022 01 01 22 50    184.22      0.33
2022 01 01 23 00    148.01      0.39
2022 01 01 23 10    139.57      0.42
2022 01 01 23 20    148.80      0.87
2022 01 01 23 30    140.42      1.04
2022 01 01 23 40    101.13      0.36
2022 01 01 23 50    124.96      0.95
2022 01 01 24 00    131.26      1.05
2022 01 02 00 10    135.69      0.51
2022 01 02 00 20    150.77      0.79
2022 01 02 00 30    150.64      0.84
2022 01 02 00 40    156.96      0.63
2022 01 02 00 50    152.14      0.85
2022 01 02 01 00    150.72      0.67
2022 01 02 01 10    136.41      0.72
2022 01 02 01 20    142.77      0.86
2022 01 02 01 30    133.91      0.80
2022 01 02 01 40    133.65      0.99
2022 01 02 01 50    132.85      0.75
2022 01 02 02 00    177.66      0.50
2022 01 02 02 10    161.40      0.76
2022 01 02 02 20    151.30      1.00
2022 01 02 02 30    142.65      1.01
