Rigi-Seebodenalp
Messstation Nr.:  13
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 01 00 10    238.20      2.53
2022 01 01 00 20    218.85      2.70
2022 01 01 00 30    203.96      3.36
2022 01 01 00 40    198.16      4.05
2022 01 01 00 50    213.24      4.00
2022 01 01 01 00    205.96      5.62
2022 01 01 01 10    238.28      4.10
2022 01 01 01 20    230.06      4.93
2022 01 01 01 30    241.19      4.03
2022 01 01 01 40    234.70      3.48
2022 01 01 01 50    232.45      3.04
2022 01 01 02 00    230.66      2.99
2022 01 01 02 10    246.54      2.09
2022 01 01 02 20    258.86      1.17
2022 01 01 02 30    359.29      0.62
2022 01 01 02 40     76.69      1.23
2022 01 01 02 50    103.88      0.97
2022 01 01 03 00    117.75      0.68
2022 01 01 03 10    247.90      1.18
2022 01 01 03 20    259.11      1.05
2022 01 01 03 30    227.68      0.74
2022 01 01 03 40    233.13      0.61
2022 01 01 03 50    113.88      0.41
2022 01 01 04 00    212.90      1.35
2022 01 01 04 10    222.56      2.02
2022 01 01 04 20    216.08      1.84
2022 01 01 04 30    238.45      1.57
2022 01 01 04 40    312.98      0.68
2022 01 01 04 50    245.18      0.89
2022 01 01 05 00    323.59      0.57
2022 01 01 05 10    213.23      0.96
2022 01 01 05 20    216.92      0.77
2022 01 01 05 30    216.98      0.66
2022 01 01 05 40    358.51      0.49
2022 01 01 05 50    145.23      1.11
2022 01 01 06 00    304.96      0.78
2022 01 01 06 10    173.59      0.58
2022 01 01 06 20    119.88      0.95
2022 01 01 06 30    116.59      1.13
2022 01 01 06 40    143.31      0.77
2022 01 01 06 50    152.55      1.54
2022 01 01 07 00    188.52      1.22
2022 01 01 07 10    202.67      1.33
2022 01 01 07 20    212.95      0.98
2022 01 01 07 30    142.58      1.47
2022 01 01 07 40    129.05      1.89
2022 01 01 07 50    113.57      1.20
2022 01 01 08 00     68.42      0.60
2022 01 01 08 10    142.93      0.42
2022 01 01 08 20    333.09      0.51
2022 01 01 08 30    300.46      0.41
2022 01 01 08 40     43.97      0.74
2022 01 01 08 50     78.71      0.80
2022 01 01 09 00    134.89      0.56
2022 01 01 09 10      7.49      0.29
2022 01 01 09 20    270.65      0.51
2022 01 01 09 30    246.60      0.78
2022 01 01 09 40    231.36      1.39
2022 01 01 09 50    207.89      1.95
2022 01 01 10 00    224.12      1.25
2022 01 01 10 10    187.94      1.18
2022 01 01 10 20    199.66      1.43
2022 01 01 10 30    262.38      0.83
2022 01 01 10 40     73.87      1.13
2022 01 01 10 50     63.95      1.13
2022 01 01 11 00     90.50      1.56
2022 01 01 11 10    113.10      1.09
2022 01 01 11 20     27.88      0.37
2022 01 01 11 30    250.30      0.48
2022 01 01 11 40    113.99      1.23
2022 01 01 11 50    109.85      1.11
2022 01 01 12 00     94.28      0.44
2022 01 01 12 10     50.02      0.37
2022 01 01 12 20     29.03      0.50
2022 01 01 12 30      9.58      0.19
2022 01 01 12 40    110.57      0.19
2022 01 01 12 50    134.17      0.43
2022 01 01 13 00    115.99      0.42
2022 01 01 13 10    141.72      1.02
2022 01 01 13 20    137.61      1.35
2022 01 01 13 30    140.37      1.11
2022 01 01 13 40    252.26      0.42
2022 01 01 13 50    229.28      0.41
2022 01 01 14 00    312.32      0.26
2022 01 01 14 10    322.23      0.41
2022 01 01 14 20    298.45      0.83
2022 01 01 14 30    347.30      0.85
2022 01 01 14 40     86.67      1.08
2022 01 01 14 50     47.86      0.65
2022 01 01 15 00    195.18      1.03
2022 01 01 15 10    211.74      0.74
2022 01 01 15 20    185.89      0.42
2022 01 01 15 30    241.71      0.30
2022 01 01 15 40    202.51      0.89
2022 01 01 15 50    198.42      1.00
2022 01 01 16 00    216.96      1.26
2022 01 01 16 10    213.48      1.25
2022 01 01 16 20    196.50      0.72
2022 01 01 16 30    286.17      0.41
2022 01 01 16 40    313.67      0.44
2022 01 01 16 50    219.90      0.44
2022 01 01 17 00    154.67      0.48
2022 01 01 17 10    115.58      0.89
2022 01 01 17 20    350.08      0.61
2022 01 01 17 30    267.20      0.94
2022 01 01 17 40    194.55      0.98
2022 01 01 17 50    186.45      0.40
2022 01 01 18 00    326.39      0.41
2022 01 01 18 10    313.02      0.42
2022 01 01 18 20    229.59      0.42
2022 01 01 18 30    125.68      0.42
2022 01 01 18 40    103.22      0.66
2022 01 01 18 50    128.57      1.31
2022 01 01 19 00     81.94      0.72
2022 01 01 19 10    225.28      1.31
2022 01 01 19 20    259.85      0.24
2022 01 01 19 30    249.27      0.72
2022 01 01 19 40    239.76      0.78
2022 01 01 19 50    280.35      0.72
2022 01 01 20 00    241.53      0.68
2022 01 01 20 10    250.68      0.93
2022 01 01 20 20    109.34      0.92
2022 01 01 20 30     95.43      0.57
2022 01 01 20 40    289.46      1.04
2022 01 01 20 50    188.56      1.34
2022 01 01 21 00    357.82      1.20
2022 01 01 21 10     21.82      0.70
2022 01 01 21 20    246.97      0.74
2022 01 01 21 30    170.39      0.82
2022 01 01 21 40    184.56      0.93
2022 01 01 21 50    180.32      1.14
2022 01 01 22 00    106.03      0.82
2022 01 01 22 10     55.85      0.93
2022 01 01 22 20     77.90      0.73
2022 01 01 22 30     90.58      1.36
2022 01 01 22 40    117.02      1.25
2022 01 01 22 50    295.07      0.93
2022 01 01 23 00    180.57      1.46
2022 01 01 23 10    214.90      3.02
2022 01 01 23 20    214.43      2.87
2022 01 01 23 30    216.14      2.35
2022 01 01 23 40    211.49      2.39
2022 01 01 23 50    216.95      2.51
2022 01 01 24 00    210.01      2.50
2022 01 02 00 10    200.07      2.60
2022 01 02 00 20    215.51      1.98
2022 01 02 00 30    341.61      0.90
2022 01 02 00 40    333.49      0.97
2022 01 02 00 50    139.50      0.91
2022 01 02 01 00    203.02      1.16
2022 01 02 01 10    215.92      2.32
2022 01 02 01 20    202.77      3.13
2022 01 02 01 30    204.16      2.69
2022 01 02 01 40    218.99      2.58
2022 01 02 01 50    217.95      2.58
2022 01 02 02 00    241.88      1.50
2022 01 02 02 10    216.01      2.67
2022 01 02 02 20    238.86      1.45
