Zürich-Kaserne
Messstation Nr.:  16
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 01 00 10    168.11      1.64
2022 01 01 00 20    150.18      1.58
2022 01 01 00 30    143.50      1.89
2022 01 01 00 40    142.07      2.30
2022 01 01 00 50    146.99      2.06
2022 01 01 01 00    151.31      2.08
2022 01 01 01 10    130.36      1.43
2022 01 01 01 20    142.87      1.83
2022 01 01 01 30    142.53      1.90
2022 01 01 01 40    137.16      1.82
2022 01 01 01 50    125.50      1.54
2022 01 01 02 00    155.53      1.87
2022 01 01 02 10    136.41      1.56
2022 01 01 02 20    118.89      1.80
2022 01 01 02 30    133.59      1.53
2022 01 01 02 40    161.18      1.29
2022 01 01 02 50    177.36      1.07
2022 01 01 03 00    204.12      0.66
2022 01 01 03 10    177.41      0.49
2022 01 01 03 20    146.29      0.51
2022 01 01 03 30    159.85      0.51
2022 01 01 03 40    147.76      0.72
2022 01 01 03 50    220.86      0.62
2022 01 01 04 00    174.58      1.22
2022 01 01 04 10    179.42      1.39
2022 01 01 04 20    163.03      1.62
2022 01 01 04 30    156.86      1.73
2022 01 01 04 40    185.07      1.33
2022 01 01 04 50    200.00      0.71
2022 01 01 05 00    253.64      0.57
2022 01 01 05 10    254.74      0.54
2022 01 01 05 20    312.45      0.56
2022 01 01 05 30    312.44      0.99
2022 01 01 05 40    303.77      1.19
2022 01 01 05 50    310.12      0.74
2022 01 01 06 00    189.01      0.34
2022 01 01 06 10    181.50      0.58
2022 01 01 06 20    166.34      1.65
2022 01 01 06 30    143.37      1.97
2022 01 01 06 40    148.19      1.29
2022 01 01 06 50    161.22      1.30
2022 01 01 07 00    152.00      1.61
2022 01 01 07 10    144.10      1.31
2022 01 01 07 20    129.38      0.57
2022 01 01 07 30     75.80      0.21
2022 01 01 07 40    315.16      0.55
2022 01 01 07 50    310.88      1.36
2022 01 01 08 00    305.78      1.40
2022 01 01 08 10    315.53      1.59
2022 01 01 08 20    315.75      2.24
2022 01 01 08 30    309.51      1.93
2022 01 01 08 40    306.24      1.37
2022 01 01 08 50    304.96      1.02
2022 01 01 09 00    305.01      0.69
2022 01 01 09 10    326.17      0.59
2022 01 01 09 20    324.94      1.08
2022 01 01 09 30    322.78      1.22
2022 01 01 09 40    313.47      1.50
2022 01 01 09 50    308.94      1.24
2022 01 01 10 00    308.38      1.45
2022 01 01 10 10    323.32      1.32
2022 01 01 10 20    324.60      1.40
2022 01 01 10 30    305.90      1.43
2022 01 01 10 40    291.37      1.25
2022 01 01 10 50    316.51      0.98
2022 01 01 11 00    331.74      0.90
2022 01 01 11 10    305.46      0.84
2022 01 01 11 20    305.82      0.90
2022 01 01 11 30    329.41      0.91
2022 01 01 11 40    335.84      1.14
2022 01 01 11 50    325.93      1.38
2022 01 01 12 00    315.32      1.22
2022 01 01 12 10    309.50      0.93
2022 01 01 12 20    311.68      0.96
2022 01 01 12 30    320.22      0.92
2022 01 01 12 40    304.73      1.34
2022 01 01 12 50    298.46      1.29
2022 01 01 13 00    324.45      1.15
2022 01 01 13 10    321.45      1.39
2022 01 01 13 20    316.12      1.76
2022 01 01 13 30    319.43      1.84
2022 01 01 13 40    322.58      1.97
2022 01 01 13 50    313.73      2.17
2022 01 01 14 00    304.73      1.90
2022 01 01 14 10    310.16      1.64
2022 01 01 14 20    301.87      1.42
2022 01 01 14 30    303.43      1.25
2022 01 01 14 40    309.20      0.58
2022 01 01 14 50    225.27      0.35
2022 01 01 15 00    266.59      0.79
2022 01 01 15 10    282.63      1.01
2022 01 01 15 20    308.06      1.03
2022 01 01 15 30    313.43      0.70
2022 01 01 15 40    286.85      0.63
2022 01 01 15 50    149.75      0.81
2022 01 01 16 00    149.27      1.18
2022 01 01 16 10    155.78      1.28
2022 01 01 16 20    154.30      1.27
2022 01 01 16 30    169.30      1.49
2022 01 01 16 40    177.89      0.98
2022 01 01 16 50    185.38      0.89
2022 01 01 17 00    171.07      1.22
2022 01 01 17 10    152.88      0.90
2022 01 01 17 20    141.52      1.00
2022 01 01 17 30    151.46      0.68
2022 01 01 17 40    156.36      0.93
2022 01 01 17 50    219.92      0.51
2022 01 01 18 00    298.80      1.01
2022 01 01 18 10    294.77      1.34
2022 01 01 18 20    318.45      0.69
2022 01 01 18 30    305.89      0.57
2022 01 01 18 40    263.95      0.52
2022 01 01 18 50    299.89      0.59
2022 01 01 19 00    306.53      1.23
2022 01 01 19 10    308.06      1.49
2022 01 01 19 20    316.61      1.74
2022 01 01 19 30    316.98      1.03
2022 01 01 19 40    297.02      0.86
2022 01 01 19 50    296.07      0.80
2022 01 01 20 00    255.33      0.71
2022 01 01 20 10    164.33      1.33
2022 01 01 20 20    170.74      1.77
2022 01 01 20 30    222.06      0.64
2022 01 01 20 40    147.73      0.73
2022 01 01 20 50    101.68      0.34
2022 01 01 21 00    310.21      0.50
2022 01 01 21 10    304.96      0.77
2022 01 01 21 20    171.14      0.71
2022 01 01 21 30    206.68      1.09
2022 01 01 21 40    198.44      0.96
2022 01 01 21 50    271.68      0.40
2022 01 01 22 00    263.05      0.67
2022 01 01 22 10    180.14      0.38
2022 01 01 22 20    196.16      0.56
2022 01 01 22 30    200.23      0.83
2022 01 01 22 40    178.47      0.95
2022 01 01 22 50    163.28      1.43
2022 01 01 23 00    168.63      1.00
2022 01 01 23 10    181.39      0.53
2022 01 01 23 20    234.79      0.45
2022 01 01 23 30    172.41      0.29
2022 01 01 23 40    176.31      0.81
2022 01 01 23 50    172.91      0.81
2022 01 01 24 00    293.61      1.15
2022 01 02 00 10    304.70      0.84
2022 01 02 00 20    315.94      1.06
2022 01 02 00 30    123.92      0.77
2022 01 02 00 40    160.08      0.85
2022 01 02 00 50    226.96      0.77
2022 01 02 01 00    257.40      0.77
2022 01 02 01 10    157.68      0.45
2022 01 02 01 20    163.82      0.56
2022 01 02 01 30    200.52      0.94
2022 01 02 01 40    267.62      0.48
2022 01 02 01 50    252.26      0.46
2022 01 02 02 00    152.80      1.02
2022 01 02 02 10    193.81      0.89
2022 01 02 02 20    202.81      0.47
2022 01 02 02 30    205.62      0.63
